Connecting to host 10.45.1.7, port 5361
[  5] local 10.45.1.1 port 35414 connected to 10.45.1.7 port 5361
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  1.11 MBytes  9.31 Mbits/sec    0    102 KBytes       
[  5]   1.00-2.00   sec  1.06 MBytes  8.86 Mbits/sec    0    143 KBytes       
[  5]   2.00-3.00   sec  1.06 MBytes  8.86 Mbits/sec    0    184 KBytes       
[  5]   3.00-4.00   sec   509 KBytes  4.17 Mbits/sec    0    216 KBytes       
[  5]   4.00-5.00   sec   954 KBytes  7.82 Mbits/sec    0    249 KBytes       
[  5]   5.00-6.00   sec   573 KBytes  4.69 Mbits/sec    0    283 KBytes       
[  5]   6.00-7.00   sec  1.18 MBytes  9.91 Mbits/sec    0    311 KBytes       
[  5]   7.00-8.00   sec   700 KBytes  5.73 Mbits/sec    0    348 KBytes       
[  5]   8.00-9.00   sec   764 KBytes  6.25 Mbits/sec    0    396 KBytes       
[  5]   9.00-10.00  sec   891 KBytes  7.30 Mbits/sec    0    503 KBytes       
[  5]  10.00-11.00  sec  1.06 MBytes  8.86 Mbits/sec    0    646 KBytes       
[  5]  11.00-12.00  sec  1.25 MBytes  10.5 Mbits/sec    0    812 KBytes       
[  5]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec    0    977 KBytes       
[  5]  13.00-14.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.16 MBytes       
[  5]  14.00-15.00  sec  0.00 Bytes  0.00 bits/sec    0   1.39 MBytes       
[  5]  15.00-16.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.66 MBytes       
[  5]  16.00-17.00  sec  0.00 Bytes  0.00 bits/sec    0   1.98 MBytes       
[  5]  17.00-18.00  sec  1.15 MBytes  9.64 Mbits/sec    0   2.31 MBytes       
[  5]  18.00-19.00  sec  0.00 Bytes  0.00 bits/sec    0   2.63 MBytes       
[  5]  19.00-20.00  sec  1.10 MBytes  9.25 Mbits/sec    0   2.95 MBytes       
[  5]  20.00-21.00  sec  0.00 Bytes  0.00 bits/sec    0   3.27 MBytes       
[  5]  21.00-22.00  sec  1.25 MBytes  10.5 Mbits/sec    0   3.56 MBytes       
[  5]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec    0   3.91 MBytes       
[  5]  23.00-24.00  sec  1.23 MBytes  10.3 Mbits/sec  338   2.51 MBytes       
[  5]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec   92   1.77 MBytes       
[  5]  25.00-26.00  sec  0.00 Bytes  0.00 bits/sec   64   1.26 MBytes       
[  5]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec  223    629 KBytes       
[  5]  27.00-28.00  sec  2.50 MBytes  21.0 Mbits/sec    8   2.80 MBytes       
[  5]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec    0   2.80 MBytes       
[  5]  29.00-30.00  sec  1.03 MBytes  8.67 Mbits/sec  191   1.69 MBytes       
[  5]  30.00-31.00  sec  0.00 Bytes  0.00 bits/sec  535   1.64 MBytes       
[  5]  31.00-32.00  sec  0.00 Bytes  0.00 bits/sec  107   1.59 MBytes       
[  5]  32.00-33.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.59 MBytes       
[  5]  33.00-34.00  sec  1.25 MBytes  10.5 Mbits/sec    5   1.59 MBytes       
[  5]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec   32   1.03 MBytes       
[  5]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec  305    806 KBytes       
[  5]  36.00-37.00  sec  1.25 MBytes  10.5 Mbits/sec    0    779 KBytes       
[  5]  37.00-38.00  sec  2.50 MBytes  21.0 Mbits/sec    0   1.40 MBytes       
[  5]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec    0   1.44 MBytes       
[  5]  39.00-40.00  sec  1.25 MBytes  10.5 Mbits/sec    5   1.43 MBytes       
[  5]  40.00-41.00  sec  0.00 Bytes  0.00 bits/sec    0   1.23 MBytes       
[  5]  41.00-42.00  sec  0.00 Bytes  0.00 bits/sec    0   1.04 MBytes       
[  5]  42.00-43.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.05 MBytes       
[  5]  43.00-44.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.10 MBytes       
[  5]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec    0   1.14 MBytes       
[  5]  45.00-46.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.18 MBytes       
[  5]  46.00-47.00  sec  0.00 Bytes  0.00 bits/sec    0   1.21 MBytes       
[  5]  47.00-48.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.23 MBytes       
[  5]  48.00-49.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.24 MBytes       
[  5]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec    0   1.25 MBytes       
[  5]  50.00-51.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.25 MBytes       
[  5]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec    0   1.26 MBytes       
[  5]  52.00-53.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.26 MBytes       
[  5]  53.00-54.00  sec  0.00 Bytes  0.00 bits/sec    0   1.27 MBytes       
[  5]  54.00-55.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.30 MBytes       
[  5]  55.00-56.00  sec  0.00 Bytes  0.00 bits/sec    0   1.33 MBytes       
[  5]  56.00-57.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.38 MBytes       
[  5]  57.00-58.00  sec  0.00 Bytes  0.00 bits/sec    0   1.43 MBytes       
[  5]  58.00-59.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.52 MBytes       
[  5]  59.00-60.00  sec  0.00 Bytes  0.00 bits/sec    0   1.63 MBytes       
[  5]  60.00-61.00  sec  1.25 MBytes  10.5 Mbits/sec    0   1.76 MBytes       
